<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.11.22	00:00:00.222	1.25842	1.25946			6
2024.11.22	00:00:00.549	1.25878	1.26070			6
2024.11.22	00:00:00.855	1.25818	1.25961			6
2024.11.22	00:00:05.498	1.25820				2
2024.11.22	00:00:52.284	1.25883	1.25956			6
2024.11.22	00:01:08.723	1.25883				2
2024.11.22	00:01:10.526		1.25932			4
2024.11.22	00:01:11.425		1.25956			4
2024.11.22	00:02:04.028	1.25883				2
2024.11.22	00:02:10.609	1.25879	1.25951			6
2024.11.22	00:02:35.265	1.25895	1.25948			6
2024.11.22	00:02:47.676	1.25872	1.25962			6
2024.11.22	00:02:48.590	1.25895	1.25948			6
2024.11.22	00:02:52.441	1.25899				2
2024.11.22	00:02:52.744	1.25903	1.25951			6
2024.11.22	00:02:53.054	1.25897	1.25950			6
2024.11.22	00:03:04.753	1.25909	1.25952			6
2024.11.22	00:03:06.408		1.25984			4
2024.11.22	00:03:16.383	1.25905	1.25988			6
2024.11.22	00:03:17.807		1.25986			4
2024.11.22	00:03:57.263		1.25984			4
2024.11.22	00:04:01.529	1.25905				2
2024.11.22	00:04:31.833	1.25903	1.25983			6
2024.11.22	00:04:59.376	1.25891	1.25980			6
2024.11.22	00:05:00.295	1.25891				2
2024.11.22	00:05:01.518		1.25981			4
2024.11.22	00:05:06.721	1.25892	1.25982			6
2024.11.22	00:05:11.320	1.25891	1.25981			6
2024.11.22	00:05:12.237		1.25980			4
2024.11.22	00:05:23.868	1.25894	1.25964			6
2024.11.22	00:05:24.415		1.25960			4
2024.11.22	00:05:27.414	1.25892	1.25966			6
2024.11.22	00:05:30.581		1.25980			4
2024.11.22	00:05:37.013	1.25891				2
2024.11.22	00:06:00.265	1.25891				2
2024.11.22	00:06:20.161	1.25890	1.25957			6
2024.11.22	00:06:20.462	1.25876				2
2024.11.22	00:06:21.390	1.25875				2
2024.11.22	00:06:58.976		1.25956			4
2024.11.22	00:07:00.521	1.25875				2
2024.11.22	00:07:27.171		1.25955			4
2024.11.22	00:07:57.388		1.25950			4
2024.11.22	00:08:01.368	1.25875				2
2024.11.22	00:08:20.516		1.25947			4
2024.11.22	00:08:20.840		1.25950			4
2024.11.22	00:08:21.343		1.25947			4
2024.11.22	00:08:21.653		1.25950			4
2024.11.22	00:08:22.635		1.25947			4
2024.11.22	00:08:22.940		1.25950			4
2024.11.22	00:08:23.268		1.25947			4
2024.11.22	00:08:23.572		1.25950			4
2024.11.22	00:08:52.270	1.25882	1.25956			6
2024.11.22	00:09:00.520	1.25882				2
2024.11.22	00:09:09.609	1.25879	1.25941			6
2024.11.22	00:09:20.360		1.25945			4
2024.11.22	00:09:21.308	1.25875				2
2024.11.22	00:09:23.773		1.25940			4
2024.11.22	00:09:50.867	1.25877	1.25937			6
2024.11.22	00:09:52.687	1.25879	1.25945			6
2024.11.22	00:10:00.310	1.25879				2
2024.11.22	00:10:10.568	1.25860	1.25950			6
2024.11.22	00:10:13.932	1.25861	1.25951			6
2024.11.22	00:10:51.603	1.25868	1.25958			6
2024.11.22	00:10:52.824	1.25875	1.25955			6
2024.11.22	00:10:53.169	1.25876	1.25950			6
2024.11.22	00:10:58.287	1.25868	1.25958			6
2024.11.22	00:10:59.192	1.25876	1.25950			6
2024.11.22	00:11:00.513	1.25876				2
2024.11.22	00:11:03.236	1.25868	1.25958			6
2024.11.22	00:11:04.163	1.25876	1.25950			6
2024.11.22	00:11:08.257	1.25868	1.25958			6
2024.11.22	00:11:09.176	1.25876	1.25950			6
2024.11.22	00:11:13.222	1.25868	1.25958			6
2024.11.22	00:11:14.141	1.25876	1.25950			6
2024.11.22	00:11:17.950	1.25868	1.25958			6
2024.11.22	00:11:19.179	1.25876	1.25950			6
2024.11.22	00:11:54.535	1.25874				2
2024.11.22	00:12:00.167	1.25874				2
2024.11.22	00:12:00.497	1.25876				2
2024.11.22	00:12:05.753	1.25874				2
2024.11.22	00:12:20.519	1.25875	1.25950			6
2024.11.22	00:12:36.117	1.25876				2
2024.11.22	00:12:50.342	1.25874	1.25945			6
2024.11.22	00:12:51.366	1.25875				2
2024.11.22	00:12:56.885	1.25879				2
2024.11.22	00:13:00.348	1.25879				2
2024.11.22	00:13:03.981	1.25883	1.25949			6
2024.11.22	00:13:12.772	1.25885	1.25950			6
2024.11.22	00:13:58.988		1.25952			4
2024.11.22	00:14:00.793	1.25885				2
2024.11.22	00:14:01.365		1.25933			4
2024.11.22	00:14:02.992		1.25952			4
2024.11.22	00:14:03.991		1.25933			4
2024.11.22	00:14:04.478		1.25952			4
2024.11.22	00:14:33.663	1.25876	1.25949			6
2024.11.22	00:14:34.970	1.25877	1.25947			6
2024.11.22	00:14:37.749		1.25948			4
2024.11.22	00:15:00.513	1.25877				2
2024.11.22	00:15:05.010		1.25949			4
2024.11.22	00:15:21.826		1.25948			4
2024.11.22	00:16:02.967	1.25877				2
2024.11.22	00:16:17.842		1.25952			4
2024.11.22	00:16:19.692	1.25876	1.25950			6
2024.11.22	00:16:30.267		1.25951			4
2024.11.22	00:16:38.881	1.25872				2
2024.11.22	00:16:52.148		1.25952			4
2024.11.22	00:17:00.515	1.25872				2
2024.11.22	00:17:41.951		1.25953			4
2024.11.22	00:17:45.559		1.25952			4
2024.11.22	00:17:48.249		1.25953			4
2024.11.22	00:18:00.255	1.25872				2
2024.11.22	00:18:10.302	1.25877	1.25956			6
2024.11.22	00:19:00.259	1.25877	1.25955			6
2024.11.22	00:19:04.765		1.25956			4
2024.11.22	00:19:08.668		1.25955			4
