<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.11.15	00:00:00.426	1.26640	1.26687			6
2024.11.15	00:00:00.968	1.26558	1.26742			6
2024.11.15	00:01:55.050	1.26623	1.26705			6
2024.11.15	00:02:02.500	1.26623				2
2024.11.15	00:02:56.628		1.26705			4
2024.11.15	00:03:00.269	1.26622	1.26700			6
2024.11.15	00:03:43.132		1.26703			4
2024.11.15	00:04:00.387	1.26623				2
2024.11.15	00:04:04.347	1.26622				2
2024.11.15	00:04:43.180		1.26703			4
2024.11.15	00:05:00.397	1.26622				2
2024.11.15	00:05:03.932	1.26627				2
2024.11.15	00:05:05.865	1.26622				2
2024.11.15	00:05:44.152		1.26703			4
2024.11.15	00:06:00.547	1.26622				2
2024.11.15	00:06:49.756		1.26703			4
2024.11.15	00:07:00.697	1.26622				2
2024.11.15	00:07:10.850	1.26623				2
2024.11.15	00:07:11.551		1.26710			4
2024.11.15	00:07:12.264		1.26704			4
2024.11.15	00:07:22.661	1.26622				2
2024.11.15	00:07:49.506		1.26701			4
2024.11.15	00:08:01.579	1.26622				2
2024.11.15	00:08:49.626		1.26701			4
2024.11.15	00:09:02.737	1.26622				2
2024.11.15	00:10:00.342	1.26622	1.26701			6
2024.11.15	00:10:03.088	1.26630				2
2024.11.15	00:10:03.824	1.26622				2
2024.11.15	00:10:19.225	1.26621	1.26699			6
2024.11.15	00:11:00.027	1.26621				2
2024.11.15	00:11:20.362		1.26699			4
2024.11.15	00:12:00.390	1.26622				2
2024.11.15	00:12:09.264	1.26621				2
2024.11.15	00:12:20.721		1.26699			4
2024.11.15	00:12:21.177	1.26622				2
2024.11.15	00:12:25.936	1.26623	1.26697			6
2024.11.15	00:12:27.041		1.26699			4
2024.11.15	00:12:27.353		1.26697			4
2024.11.15	00:12:28.284		1.26699			4
2024.11.15	00:12:28.614	1.26621				2
2024.11.15	00:13:00.025	1.26621				2
2024.11.15	00:13:16.295		1.26706			4
2024.11.15	00:13:35.750		1.26699			4
2024.11.15	00:13:44.672		1.26706			4
2024.11.15	00:13:45.415		1.26699			4
2024.11.15	00:13:59.099	1.26625				2
2024.11.15	00:14:00.386	1.26624				2
2024.11.15	00:14:08.472	1.26621				2
2024.11.15	00:14:46.119		1.26699			4
2024.11.15	00:15:00.167	1.26621				2
2024.11.15	00:15:06.675	1.26645	1.26707			6
2024.11.15	00:15:07.217		1.26712			4
2024.11.15	00:15:12.326		1.26711			4
2024.11.15	00:15:14.377		1.26710			4
2024.11.15	00:15:16.382		1.26709			4
2024.11.15	00:15:19.517	1.26642				2
2024.11.15	00:15:20.382		1.26708			4
2024.11.15	00:15:23.511	1.26645				2
2024.11.15	00:15:25.767	1.26642				2
2024.11.15	00:15:26.519	1.26645				2
2024.11.15	00:15:27.321		1.26707			4
2024.11.15	00:15:50.514		1.26699			4
2024.11.15	00:16:00.530	1.26646				2
2024.11.15	00:16:03.853		1.26708			4
2024.11.15	00:16:04.224		1.26709			4
2024.11.15	00:16:08.837	1.26638	1.26696			6
2024.11.15	00:16:09.384		1.26699			4
2024.11.15	00:16:11.449	1.26639				2
2024.11.15	00:16:12.380		1.26698			4
2024.11.15	00:16:12.828	1.26638				2
2024.11.15	00:16:16.359		1.26697			4
2024.11.15	00:16:21.324	1.26639				2
2024.11.15	00:16:23.380		1.26696			4
2024.11.15	00:16:24.825	1.26638				2
2024.11.15	00:16:25.660	1.26640				2
2024.11.15	00:16:33.317		1.26700			4
2024.11.15	00:16:35.229	1.26641				2
2024.11.15	00:16:39.000	1.26639				2
2024.11.15	00:16:43.081	1.26640				2
2024.11.15	00:16:43.859	1.26641				2
2024.11.15	00:16:46.203	1.26643				2
2024.11.15	00:16:54.935	1.26644				2
2024.11.15	00:16:57.982	1.26645				2
2024.11.15	00:17:00.391	1.26640				2
2024.11.15	00:17:02.642	1.26641				2
2024.11.15	00:17:05.903	1.26642				2
2024.11.15	00:17:06.345	1.26643				2
2024.11.15	00:17:13.351	1.26644				2
2024.11.15	00:17:13.927	1.26645				2
2024.11.15	00:17:14.738	1.26646				2
2024.11.15	00:17:26.502	1.26647				2
2024.11.15	00:17:31.337	1.26643				2
2024.11.15	00:18:00.388	1.26641	1.26700			6
2024.11.15	00:18:20.566	1.26639				2
2024.11.15	00:18:22.179	1.26640				2
2024.11.15	00:18:25.438	1.26641				2
2024.11.15	00:18:30.877	1.26640				2
2024.11.15	00:18:34.009	1.26641				2
2024.11.15	00:18:34.516	1.26638	1.26686			6
2024.11.15	00:18:40.223	1.26605	1.26694			6
2024.11.15	00:18:40.870	1.26601				2
2024.11.15	00:18:41.901	1.26602	1.26695			6
2024.11.15	00:18:47.393		1.26694			4
2024.11.15	00:18:49.390		1.26693			4
2024.11.15	00:18:50.391		1.26692			4
2024.11.15	00:18:52.393		1.26691			4
2024.11.15	00:18:55.412		1.26690			4
2024.11.15	00:18:56.516	1.26604				2
2024.11.15	00:18:57.028		1.26697			4
2024.11.15	00:19:00.515	1.26604				2
2024.11.15	00:19:21.373	1.26600	1.26696			6
2024.11.15	00:19:21.932	1.26595	1.26695			6
2024.11.15	00:19:22.375	1.26596	1.26696			6
2024.11.15	00:19:23.479	1.26599	1.26697			6
